"month","namespace","is_genai","tool","dataset_class","unique_users","project_runs","total_catalog_entries"
2026-05-01,"experimental",true,"LangChain prompt","kedro_datasets_experimental_langchain_prompt_dataset_promptdataset",1,12,12
2026-05-01,"experimental",true,"ChromaDB (vector store)","kedro_datasets_experimental_chromadb_chromadb_dataset_chromadbdataset",1,12,12
2026-06-01,"core",true,"LangChain (chat / embeddings)","kedro_datasets_langchain_chat_openai_dataset_chatopenaidataset",10,129,238
2026-06-01,"core",true,"LangChain (chat / embeddings)","kedro_datasets_langchain_openai_embeddings_dataset_openaiembeddingsdataset",1,8,8
2026-06-01,"experimental",true,"LangChain prompt","kedro_datasets_experimental_langchain_prompt_dataset_promptdataset",5,107,262
2026-06-01,"experimental",false,"mlrun","kedro_datasets_experimental_mlrun_df_dataset_mlrundataframedataset",3,4,4
2026-06-01,"experimental",true,"Langfuse (LLM observability)","kedro_datasets_experimental_langfuse_prompt_dataset_promptdataset",3,23,45
2026-06-01,"experimental",true,"Langfuse (LLM observability)","kedro_datasets_experimental_langfuse_evaluation_dataset_evaluationdataset",3,23,23
2026-06-01,"experimental",false,"mlrun","kedro_datasets_experimental_mlrun_result_mlrunresult",3,4,4
2026-06-01,"experimental",true,"Langfuse (LLM observability)","kedro_datasets_experimental_langfuse_trace_dataset_tracedataset",3,23,67
2026-06-01,"experimental",false,"mlrun","kedro_datasets_experimental_mlrun_model_mlrunmodel",3,4,8
2026-06-01,"experimental",true,"Opik (LLM observability)","kedro_datasets_experimental_opik_trace_dataset_tracedataset",3,29,70
2026-06-01,"experimental",true,"Opik (LLM observability)","kedro_datasets_experimental_opik_prompt_dataset_promptdataset",3,29,41
2026-06-01,"experimental",true,"Opik (LLM observability)","kedro_datasets_experimental_opik_evaluation_dataset_evaluationdataset",2,12,12
2026-06-01,"experimental",true,"ChromaDB (vector store)","kedro_datasets_experimental_chromadb_chromadb_dataset_chromadbdataset",2,33,33
2026-06-01,"experimental",false,"netcdf","kedro_datasets_experimental_netcdf_netcdf_dataset_netcdfdataset",1,46,92
2026-07-01,"core",true,"LangChain (chat / embeddings)","kedro_datasets_langchain_chat_openai_dataset_chatopenaidataset",1,17,25
2026-07-01,"experimental",true,"LangChain prompt","kedro_datasets_experimental_langchain_prompt_dataset_promptdataset",2,18,26
2026-07-01,"experimental",true,"Langfuse (LLM observability)","kedro_datasets_experimental_langfuse_trace_dataset_tracedataset",1,8,24
2026-07-01,"experimental",true,"Langfuse (LLM observability)","kedro_datasets_experimental_langfuse_prompt_dataset_promptdataset",1,8,16
2026-07-01,"experimental",true,"Langfuse (LLM observability)","kedro_datasets_experimental_langfuse_evaluation_dataset_evaluationdataset",1,8,8
